API Number,Operator,Well Name,Well Number,Northing,Easting,Well Status,Class,Total Depth,Datum Elevation,Datum Type,State,County,Country,Field,Basin,Lease Name,Ground Elevation,Plugback Depth,Spud Date,Completion Date,Common Well Name,Legal Survey Type,Location
490251039700,U.S. DOE,NPR-3,34-A-21,974652.3,794810.9,PA,I,2914,4921,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,4911,,7/8/1977,,34-A-21,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 21 
490250631800,U.S. DOE,NPR-3,82-S-14,950092,808959.2,PR,O,1286,5293,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5288,,7/4/1962,7/6/1962,82-S-14,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 14 
490250632200,U.S. DOE,NPR-3,71-SX-14,950778.6,808258.9,PR,O,3052,5247,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5259,3052,8/19/1959,,71-SX-14,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 14 
490250632500,U.S. DOE,NPR-3,48-S-11,951369.6,806496.9,PR,O,762,5192,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5187,,7/12/1963,,48-S-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 
490250632600,U.S. DOE,NPR-3,88-St-11,951458.9,809057.2,PR,O,2988,5289,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5279,,10/28/1958,,88-ST-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 
490250632700,U.S. DOE,NPR-3,68-SX-11,951489.5,807735.2,PR,O,1031,5226,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5221,,7/6/1962,,68-SX-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 
490250632800,U.S. DOE,NPR-3,57-S-11,952038.5,807051.6,PR,O,921,5219,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5213,,8/1/1961,,57-S-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 
490250632900,U.S. DOE,NPR-3,77-SX-11,952091.8,808321.5,PR,O,1201,5262,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5258,,8/15/1959,,77-SX-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 
490250633200,U.S. DOE,NPR-3,86-S-11,952745,808947.2,PR,O,1350,5299,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5295,,8/8/1959,,86-S-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 
490250633400,U.S. DOE,NPR-3,66-S-11,952700.9,807660.2,PR,O,1087,5243,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5238,,3/5/1960,,66-S-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 
