,Formation,n_train,n_holdout,MAE,RMSE,Std
0,SSXS,202,62,4.8,9.648713605021797,9.315776453269471
1,SSXbase,260,91,3.7,7.566635646738011,7.446405959363637
2,SHNNu,720,196,2.4,6.057179398407174,6.05553289583399
3,SHNNl,718,202,2.7,6.323206490988766,6.291419515778242
4,SHNNbs,512,157,3.0,7.901295507844172,7.878990184875363
5,StBR,75,25,2.7,3.447750391875967,3.4461439968020033
6,StFT,75,25,5.2,7.135843727309255,7.110746752040915
7,StGD,58,32,4.7,7.9331760589583995,7.870436302441034
8,StAM,80,28,5.0,10.194719746771266,9.788529357510631
9,NBRRws,139,50,5.5,8.836648646560109,8.781212164412446
10,NBRRsg,147,41,4.3,7.226865606244357,7.081228397929424
11,CRLL,205,63,5.6,7.948623224687363,7.9486213057426
12,F1WC,235,97,5.2,6.495019268339316,6.477932162097232
13,F1WCBench1Base,74,21,6.5,9.01071448032235,8.512981700909657
14,F1WCBench2Top,77,11,5.4,8.22933953078105,7.783504947254134
15,F1WCBench2Base,53,20,3.3,4.8132824898891275,4.674107607921639
16,F1WCBench3Top,54,20,2.6,4.264890171132517,4.044010163549823
17,F1WCbase,239,93,13.0,16.287041734819848,16.061509234797178
18,B1,211,65,3.5,5.847140097709672,5.825157531228908
19,F2WC,246,78,6.0,13.037621278675413,12.880237309163928
20,F2WCbase,214,75,6.6,12.283407349145977,12.174907598581802
21,F3WC,42,12,7.2,10.377592945158083,10.213220942041575
22,F3WCbase,31,13,2.4,3.5465431587858673,3.500815246573741
23,MWRY,41,12,8.3,11.658803069306966,11.658749861711364
24,MDDY,23,8,3.7,5.928656082745662,5.767404895503933
25,THRM,23,6,8.7,10.88228196828073,10.355938001520014
26,DKOT,33,13,6.8,10.39776633386303,10.397475050485518
27,LKOT,23,8,4.3,6.360503775596443,6.3250700575775385
28,MRSN,26,5,11.4,15.182328788209801,11.59574272261072
29,SNDCu,4,3,50.4,71.99512843192848,64.68988740386284
30,CNSP,4,1,7.8,7.785575381726858,0.0
31,CRMT,13,5,1.1,1.405350727944483,1.142573711564127
32,ALCV,12,3,6.9,8.676624057051495,5.766384949543091
33,RDPK,11,4,6.3,7.93675501636705,5.726613356941084
34,ERVY,2,0,,,
35,FRLL,3,0,,,
36,GLND,1,0,,,
37,MNKT,28,8,2.0,2.452039465907996,2.4430423612073935
38,OPCH,25,9,0.9,1.3440358740143574,1.3080079430923395
39,A Sand,27,6,1.4,1.4880834253289714,1.4228794135655443
40,B Dolo,22,13,2.8,3.3761334274986683,3.360285185643611
41,B Sand,30,5,2.3,2.5720921744683385,2.527261955251122
42,C1 Dolo,22,10,1.8,2.058437939446932,1.9553329335739356
43,C1 Sand,2,0,,,
44,C2 Dolo,1,1,37.4,37.37281352456614,0.0
45,C2 Sand,4,1,2.5,2.545045553871205,0.0
46,C3 Dolo,2,2,5.2,5.199861009944674,0.15156818229826285
47,C3 Sand,5,0,,,
48,C4 Dolo,3,2,24.2,25.40636460885826,7.615128899485967
49,C4 Sand,4,1,0.0,0.02445769112000562,0.0
50,D Dolo,1,1,40.4,40.38215003035771,0.0
51,D Sand,1,0,,,
52,E Dolo,1,0,,,
53,AMSD,1,0,,,
54,MDSN,1,0,,,
55,PC,1,0,,,
