Formation,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std
SSXS,198,66,2.4,4.468063033,4.418950363,202,62,4.8,9.648713605,9.315776453,198,66,17.4,25.36032095,24.30352758,197,67,3.5,5.110625999,5.067798448
SSXbase,280,71,3.5,5.630110333,5.630072994,260,91,3.7,7.566635647,7.446405959,264,87,6.9,9.451135349,9.423798145,254,97,4,10.44635258,10.2971505
SHNNu,707,209,2,3.321351553,3.311535323,720,196,2.4,6.057179398,6.055532896,682,234,2.8,7.0395887,7.035336721,707,209,2.8,5.799602025,5.799572048
SHNNl,707,213,2,3.49340406,3.481517582,718,202,2.7,6.323206491,6.291419516,704,216,2.6,6.88495298,6.881184196,696,224,2.8,7.106170512,7.105913725
SHNNbs,517,152,1.7,3.661367974,3.634847826,512,157,3,7.901295508,7.878990185,499,170,2.9,7.924841922,7.875144672,496,173,2.8,8.244012316,8.214568691
StBR,72,28,2,2.701697778,2.701697126,75,25,2.7,3.447750392,3.446143997,78,22,3.9,6.33445655,5.955011684,75,25,3.9,6.885624674,6.356114248
StFT,73,27,3.5,6.346690297,6.345746067,75,25,5.2,7.135843727,7.110746752,73,27,2.9,4.685721346,4.665354435,79,21,3.5,5.440727969,5.169940428
StGD,77,13,3.7,5.41594661,5.352817555,58,32,4.7,7.933176059,7.870436302,60,30,2.4,3.056945545,3.04870673,75,15,4.4,7.297550445,6.840303833
StAM,79,29,3.4,4.662880598,3.913511387,80,28,5,10.19471975,9.788529358,83,25,5.6,9.081703852,9.069490869,82,26,3.3,7.007639152,6.635942471
NBRRws,141,48,3.5,4.801952185,4.801913361,139,50,5.5,8.836648647,8.781212164,136,53,6,8.465880341,8.460996418,152,37,6.5,9.726135914,9.686678671
NBRRsg,140,48,4.1,6.404063502,6.395577661,147,41,4.3,7.226865606,7.081228398,139,49,4.5,6.355916685,6.355828936,138,50,5.3,8.953194697,8.703532727
CRLL,193,75,4.3,6.440980752,6.435093444,205,63,5.6,7.948623225,7.948621306,204,64,5.6,13.35546797,13.25082305,205,63,4.8,6.490320814,6.489721391
F1WC,245,87,4.6,5.904036525,5.894957969,235,97,5.2,6.495019268,6.477932162,256,76,5.1,6.404121832,6.202095429,260,72,4.8,6.740421388,6.737590456
F1WCBench1Base,70,25,5.5,7.30318062,6.918260177,74,21,6.5,9.01071448,8.512981701,71,24,5.7,7.942269438,7.863265567,71,24,6.4,8.54514686,8.311950145
F1WCBench2Top,66,22,8.4,9.994032408,9.740058714,77,11,5.4,8.229339531,7.783504947,65,23,6.5,8.513126202,8.218919257,56,32,8,10.47544843,10.02640593
F1WCBench2Base,52,21,3.9,5.416905694,5.350657023,53,20,3.3,4.81328249,4.674107608,56,17,4.9,7.801921568,7.442203628,58,15,2.8,3.881672943,3.869377906
F1WCBench3Top,56,18,4.2,6.052353825,5.941551517,54,20,2.6,4.264890171,4.044010164,60,14,2.5,3.278683299,3.219858363,52,22,3.7,6.808812929,6.577243113
F1WCbase,251,81,13.4,16.76940968,16.68335259,239,93,13,16.28704173,16.06150923,264,68,14.7,17.34316751,17.34268501,242,90,14.4,17.55879283,17.36170205
B1,205,71,3.6,4.882718299,4.878587931,211,65,3.5,5.847140098,5.825157531,198,78,4.2,5.545403741,5.539195592,215,61,3.7,5.030585429,4.947673095
F2WC,239,85,5.8,9.10873854,9.108325038,246,78,6,13.03762128,12.88023731,247,77,4.6,6.622296471,6.343039429,243,81,5.2,7.285398966,7.259143069
F2WCbase,218,71,4.2,5.736226395,5.653774596,214,75,6.6,12.28340735,12.1749076,220,69,3.4,4.484222559,4.366418989,219,70,3.9,5.500739842,5.231975047
F3WC,37,17,2.9,4.364750585,4.110863435,42,12,7.2,10.37759295,10.21322094,43,11,4.1,4.902371523,4.83570742,40,14,7.8,11.0059197,10.84378007
F3WCbase,34,10,3.5,5.101907434,4.884661161,31,13,2.4,3.546543159,3.500815247,35,9,3.3,4.713783952,4.709324304,32,12,3.9,6.046479155,5.001369972
MWRY,38,15,6,9.195063341,8.645470213,41,12,8.3,11.65880307,11.65874986,37,16,5.2,8.712043157,8.284523495,43,10,10,17.54752911,16.34312057
MDDY,23,8,2.7,3.767320258,3.604463624,23,8,3.7,5.928656083,5.767404896,23,8,2.1,2.984276377,2.406585846,24,7,11.5,14.96013084,13.9943731
THRM,19,10,3.7,4.8589801,4.772627104,23,6,8.7,10.88228197,10.355938,24,5,2.2,3.511396006,3.347038119,21,8,7.6,9.261421617,8.50968511
DKOT,34,12,5,6.825831443,6.718687456,33,13,6.8,10.39776633,10.39747505,34,12,3.4,3.887115561,3.746165271,37,9,10.5,13.31271516,12.66341717
LKOT,24,7,3.2,4.237319641,4.157463016,23,8,4.3,6.360503776,6.325070058,27,4,6.5,7.635850438,5.089635986,19,12,8.9,11.52914641,11.51853289
MRSN,22,9,5.5,6.582097041,6.472173687,26,5,11.4,15.18232879,11.59574272,23,8,5.6,6.610592802,6.521014286,22,9,13.4,17.73538846,14.06504284
SNDCu,4,3,19.7,21.31379626,8.119008217,4,3,50.4,71.99512843,64.6898874,7,0,,,,6,1,5.2,5.24650167,0
CNSP,1,4,25.2,25.73057279,25.33727818,4,1,7.8,7.785575382,0,5,0,,,,5,0,,,
CRMT,13,5,5.1,6.150053048,5.511174192,13,5,1.1,1.405350728,1.142573712,13,5,6.7,7.457617371,3.20963028,15,3,8.2,11.5142768,8.101243608
ALCV,9,6,5.2,7.168180098,7.092002674,12,3,6.9,8.676624057,5.76638495,11,4,4.9,6.195463922,4.489090236,13,2,3.2,3.497157521,1.41656632
RDPK,12,3,3.1,3.651561533,3.648082977,11,4,6.3,7.936755016,5.726613357,10,5,7.7,8.80967737,8.766924856,12,3,4.3,4.890893043,2.347825273
ERVY,2,0,,,,2,0,,,,2,0,,,,2,0,,,
FRLL,2,1,36.7,36.71870113,0,3,0,,,,2,1,2.3,2.280039338,0,2,1,10.2,10.18086609,0
GLND,1,0,,,,1,0,,,,1,0,,,,1,0,,,
MNKT,19,17,2.9,3.749791527,3.520993738,28,8,2,2.452039466,2.443042361,31,5,7.7,11.76909748,9.485873861,30,6,5,6.287782499,6.189561908
OPCH,24,10,2.1,2.373599814,2.211513246,25,9,0.9,1.344035874,1.308007943,29,5,6.4,10.99455013,9.174270084,24,10,4.5,5.94396616,5.460973782
A Sand,25,8,4.8,8.676796599,7.705038054,27,6,1.4,1.488083425,1.422879414,21,12,3.2,4.468802531,4.148277882,26,7,2.4,3.234758576,2.776735519
B Dolo,26,9,4.3,8.019019437,7.9321828,22,13,2.8,3.376133427,3.360285186,31,4,3.5,4.555849578,4.471030151,26,9,2.3,3.53432177,3.431586831
B Sand,24,11,4.1,7.38739295,6.9059784,30,5,2.3,2.572092174,2.527261955,28,7,2.3,2.72186071,2.717330667,23,12,2,3.508438163,3.441157219
C1 Dolo,27,5,1.4,1.950546493,1.95054171,22,10,1.8,2.058437939,1.955332934,23,9,3,3.579136847,3.549855275,24,8,2.1,2.485546605,2.118114893
