,API,Formation,MD,GL,DELEV,DT,TVDSS
0,490251022100,F2WC,2626.64,5025,5025,KB,2398.36
1,490251022100,F1WCbase,2237.94,5025,5025,KB,2787.06
2,490251022100,B1,2446.59,5025,5025,KB,2578.41
3,490251022100,F1WC,2210.4,5025,5025,KB,2814.6
4,490251040300,SHNNu,389.69,5161,5171,KB,4781.31
5,490251040300,SHNNl,482.58,5161,5171,KB,4688.42
6,490251040300,F1WC,2628.12,5161,5171,KB,2542.88
7,490251040300,CRLL,2387.7,5161,5171,KB,2783.3
8,490251040300,SHNNbs,551.31,5161,5171,KB,4619.69
9,490251040300,SSXbase,12.74,5161,5171,KB,5158.26
10,490251022200,F2WC,2673.21,4991,4991,KB,2317.79
11,490251022200,CRLL,2008.98,4991,4991,KB,2982.02
12,490251022200,F1WC,2256.31,4991,4991,KB,2734.69
13,490251022200,F1WCbase,2367.83,4991,4991,KB,2623.17
14,490251022200,B1,2496.32,4991,4991,KB,2494.68
15,490251059300,F2WC,2822.7,4987,4987.5,DF,2164.8
16,490251059300,B1,2642.85,4987,4987.5,DF,2344.65
17,490251059300,F1WC,2439.38,4987,4987.5,DF,2548.12
18,490251059300,F1WCbase,2532.58,4987,4987.5,DF,2454.92
19,490251059300,CRLL,2180.35,4987,4987.5,DF,2807.15
20,490251021800,F1WC,2440.08,5132,5132,GL,2691.92
21,490251021800,F2WC,2811.71,5132,5132,GL,2320.29
22,490251021800,CRLL,2192.9,5132,5132,GL,2939.1
23,490251021800,NBRRsg,1967.53,5132,5132,GL,3164.47
24,490251021800,NBRRws,1735.39,5132,5132,GL,3396.61
25,490251021800,F1WCbase,2449.45,5132,5132,GL,2682.55
26,490251021800,B1,2641.18,5132,5132,GL,2490.82
27,490251021800,F1WCbase,2588.73,5132,5132,GL,2543.27
28,490251021800,F1WCBench1Base,2451.89,5132,5132,GL,2680.11
29,490251021800,F1WCBench2Top,2460.26,5132,5132,GL,2671.74
30,490251021800,F1WCBench2Base,2552.36,5132,5132,GL,2579.64
31,490251021800,F1WCBench3Top,2567.71,5132,5132,GL,2564.29
32,490251137400,B1,2489.59,4995,5005.6,DF,2516.01
33,490251137400,F1WC,2257.29,4995,5005.6,DF,2748.31
34,490251137400,CRLL,2013.7,4995,5005.6,DF,2991.9
35,490251137400,F2WC,2654.81,4995,5005.6,DF,2350.79
36,490251137400,F1WCbase,2280.59,4995,5005.6,DF,2725.01
37,490251137400,F2WCbase,2691.52,4995,5005.6,DF,2314.08
38,490250959200,F2WC,2740.33,4974,4974.2,GL,2233.87
39,490250959200,F1WC,2350.5,4974,4974.2,GL,2623.7
40,490250959200,F1WCbase,2446.18,4974,4974.2,GL,2528.02
