,Formation,n_train,n_holdout,MAE,RMSE,Std
0,1000,1189,402,39.2,55.924578586389515,55.844321154065014
1,2000,242,86,18.7,33.697412713479174,33.68193173375907
2,3000,254,108,14.3,26.214477844396004,26.070875122306237
3,4000,447,141,13.9,26.448550982128634,26.00054612791716
4,5000,1425,483,6.1,11.050402382805384,11.049237534653782
5,6000,319,106,3.8,6.001805674836273,5.822567779115453
6,7000,1221,355,2.7,7.706416044320361,7.670423233908841
7,8000,0,0,,,
8,9000,1356,427,3.6,18.396054456820707,18.314744901752363
9,9500,1346,437,5.1,26.601180498857477,26.403040174554967
10,10000,1380,451,3.8,16.52088651642849,16.41336228225067
11,11000,1336,461,5.2,24.011091332862723,23.901785589770682
12,12000,1330,453,4.0,16.562569953528946,16.50503263855089
13,13000,1393,487,5.8,17.815192901248643,17.794081759221598
14,14000,1567,532,38.9,56.3281625952314,54.815064457521544
