,Formation,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std
0,1000,1196,395,38.4,50.5715658,49.68593043,1189,402,39.2,55.92457859,55.84432115,1195,396,41.5,53.47669491,51.95092564,1195,396,43.6,170.6965064,170.3581113
1,2000,245,83,5,8.778403366,8.707897418,242,86,18.7,33.69741271,33.68193173,248,80,7.1,12.42242066,11.87959738,250,78,14.1,29.09887894,28.2343539
2,3000,275,87,4.1,17.22649586,17.11037671,254,108,14.3,26.21447784,26.07087512,284,78,3.8,10.1373914,10.08301618,274,88,12.2,20.7745649,20.3692639
3,4000,438,150,14.3,52.23193333,52.04446932,447,141,13.9,26.44855098,26.00054613,434,154,12.1,23.42693466,23.23817178,445,143,9.4,18.59569368,18.59115493
4,5000,1410,498,6.1,15.43146263,15.4265418,1425,483,6.1,11.05040238,11.04923753,1409,499,6.1,20.06520912,20.06113653,1481,427,4.6,7.369717234,7.350978022
5,6000,320,105,3.1,4.213355472,4.192455658,319,106,3.8,6.001805675,5.822567779,324,101,3.1,4.196104476,4.195902308,312,113,4.6,6.863372503,6.850448352
6,7000,1171,405,6,27.75371818,27.47291253,1221,355,2.7,7.706416044,7.670423234,1195,381,3.6,12.95815449,12.83591837,1141,435,5.4,35.42517217,35.33843317
7,8000,0,0,,,,0,0,,,,0,0,,,,0,0,,,
8,9000,1345,438,3.7,12.61924193,12.45030732,1356,427,3.6,18.39605446,18.3147449,1336,447,5.7,35.09468994,34.88630947,1313,470,4.5,24.39087701,24.30979102
9,9500,1338,445,2.6,7.912253082,7.878139484,1346,437,5.1,26.6011805,26.40304017,1342,441,4.9,20.10362971,19.87412904,1323,460,5.8,36.77200669,36.5708402
10,10000,1382,449,5.5,36.82082281,36.66288413,1380,451,3.8,16.52088652,16.41336228,1349,482,4.3,23.17584645,23.03134226,1383,448,2.8,8.524478134,8.507848089
11,11000,1358,439,4.8,20.53872783,20.35280164,1336,461,5.2,24.01109133,23.90178559,1380,417,5,18.01823564,17.84981592,1318,479,4.7,31.63538512,31.52362031
12,12000,1336,447,3.4,10.6660433,10.62200861,1330,453,4,16.56256995,16.50503264,1321,462,5.7,27.512129,27.26078978,1363,420,6,35.71548351,35.49963566
13,13000,1401,479,4.3,10.63747464,10.61099257,1393,487,5.8,17.8151929,17.79408176,1437,443,9,43.48274772,43.36877287,1425,455,6.6,23.09269436,23.07439661
14,14000,1595,504,31.4,76.21496118,76.21049797,1567,532,38.9,56.3281626,54.81506446,1559,540,30.4,40.64858924,40.03188754,1594,505,27.9,44.57559706,43.70830775
