,Format+B1:G46on,n_train,n_holdout,MAE,RMSE,Std
0,SSXS,202,62,15.3,32.74083828,31.30433559
1,SSXbase,260,91,11.8,25.29533386,24.88806968
2,SHNNu,720,196,7.8,20.0784602,20.0657568
3,SHNNl,718,202,8.4,20.98950854,20.8893614
4,SHNNbs,512,157,9.4,25.5151789,25.44877223
5,StBR,75,25,8.8,11.16153458,11.15494553
6,StFT,75,25,16.8,23.15290549,23.05865181
7,StGD,58,32,15.5,25.93315823,25.74402789
8,StAM,80,28,16.4,33.52539715,32.18056466
9,NBRRws,139,50,17.7,28.16950379,27.99854143
10,NBRRsg,147,41,14.1,23.70785662,23.30186818
11,CRLL,205,63,18.7,26.87576098,26.86953709
12,F1WC,235,97,17.2,21.50421134,21.46613502
13,F1WCBench1Base,74,21,21,29.3902094,27.81277459
14,F1WCBench2Top,77,11,17.7,26.95047179,25.47471166
15,F1WCBench2Base,53,20,10.9,15.71511715,15.27037127
16,F1WCBench3Top,54,20,8.5,13.88808281,13.15726608
17,F1WCbase,239,93,42.9,53.5678325,52.76962041
18,B1,211,65,11.8,19.27092218,19.19983895
19,F2WC,246,78,19.2,39.30164485,38.88826846
20,F2WCbase,214,75,21,36.27950493,36.00851206
21,F3WC,42,12,23.6,33.64138935,33.02457564
22,F3WCbase,31,13,7.8,11.64473219,11.46958003
23,MWRY,41,12,26.4,37.24578604,37.24570084
24,MDDY,23,8,12.1,19.44291595,18.95091105
25,THRM,23,6,28.6,37.41467426,35.01399831
26,DKOT,33,13,21.1,32.51449899,32.51449637
27,LKOT,23,8,13.8,20.81971322,20.67956995
28,MRSN,26,5,36.9,49.58767946,37.36744583
29,SNDCu,4,3,185.4,269.878433,240.1713913
30,CNSP,4,1,25.4,25.41636739,0
31,CRMT,13,5,3.5,4.590868657,3.658696935
32,ALCV,12,3,22.1,27.52366466,18.50764382
33,RDPK,11,4,20.5,25.49500413,18.57822702
34,ERVY,2,0,,,
35,FRLL,3,0,,,
36,GLND,1,0,,,
37,MNKT,28,8,6.2,7.659567373,7.609880345
38,OPCH,25,9,2.9,4.236359778,4.118311713
39,A Sand,27,6,4.4,4.741901971,4.563051884
40,B Dolo,22,13,9.3,10.94032257,10.88568008
41,B Sand,30,5,7.4,8.396537683,8.254948246
42,C1 Dolo,22,10,6,6.827598904,6.422217648
43,C1 Sand,2,0,,,
44,C2 Dolo,1,1,119.9,119.9242439,0
45,C2 Sand,4,1,7.9,7.911915297,0
46,C3 Dolo,2,2,16.3,16.32956268,0.643092959
47,C3 Sand,5,0,,,
48,C4 Dolo,3,2,74.6,78.32961441,23.73257446
49,C4 Sand,4,1,0.7,0.739462589,0
50,D Dolo,1,1,129,129.0183182,0
51,D Sand,1,0,,,
52,E Dolo,1,0,,,
53,AMSD,1,0,,,
54,MDSN,1,0,,,
55,PC,1,0,,,
