,Formation,n_train,n_holdout,MAE,RMSE,Std
0,SSXS,198,66,100.0,145.79720269659694,140.56961487841104
1,SSXbase,264,87,21.8,29.52769733806565,29.40163621029884
2,SHNNu,682,234,9.3,26.84633115653128,26.83557105199938
3,SHNNl,704,216,8.7,26.522712996626492,26.495417861283144
4,SHNNbs,499,170,9.8,30.53872618246875,30.353384508110075
5,StBR,78,22,15.8,22.08139887463731,20.367621282324677
6,StFT,73,27,12.1,18.63269927287523,18.61848292083259
7,StGD,60,30,7.5,9.563587051814595,9.54405400375703
8,StAM,83,25,14.0,21.226477496564236,21.098432716161028
9,NBRRws,136,53,25.6,44.69170683644737,44.01932975223257
10,NBRRsg,139,49,19.0,39.37249927669026,38.894583731403884
11,CRLL,204,64,25.5,72.53875691383692,71.75690553571421
12,F1WC,256,76,33.6,152.0333078657953,151.50649348296258
13,F1WCBench1Base,71,24,82.8,321.03943552514954,314.75472161118597
14,F1WCBench2Top,65,23,21.9,28.397099188061258,27.341350607166284
15,F1WCBench2Base,56,17,16.0,25.984699913502414,24.678304506873676
16,F1WCBench3Top,60,14,8.2,10.84439587064869,10.519777842047729
17,F1WCbase,264,68,48.5,57.29802395796205,57.28526649675967
18,B1,198,78,14.1,18.560547902654775,18.54135794000715
19,F2WC,247,77,14.9,21.73044434241663,20.82679552958643
20,F2WCbase,220,69,10.9,14.704907446596236,14.27660819993666
21,F3WC,43,11,13.7,16.671916352117503,16.461733089338544
22,F3WCbase,35,9,11.0,15.652717104350401,15.62239349776355
23,MWRY,37,16,17.2,29.045487877826986,27.640781009382422
24,MDDY,23,8,6.9,9.756760091972343,7.7964873955409075
25,THRM,24,5,7.2,11.480595744286887,10.952234172192817
26,DKOT,34,12,10.7,12.525370619769909,11.8776922016291
27,LKOT,27,4,21.2,24.59659621756138,16.522193660050593
28,MRSN,23,8,18.8,21.998239728791802,21.72508036449312
29,SNDCu,7,0,,,
30,CNSP,5,0,,,
31,CRMT,13,5,21.7,23.88184955876798,9.869515559477165
32,ALCV,11,4,15.7,19.59378788903558,14.758055140423856
33,RDPK,10,5,24.0,27.314218692915134,27.195237970578248
34,ERVY,2,0,,,
35,FRLL,2,1,7.3,7.266922792328842,0.0
36,GLND,1,0,,,
37,MNKT,31,5,25.1,38.68075736833575,31.123976035195536
38,OPCH,29,5,21.0,36.12863808985419,30.245098495480722
39,A Sand,21,12,10.0,13.623489254556228,12.615810606769445
40,B Dolo,31,4,11.6,14.937642762175845,14.70376888979343
41,B Sand,28,7,7.4,8.963942814385371,8.956744883260365
42,C1 Dolo,23,9,9.7,11.684107529688365,11.613294225649156
43,C1 Sand,1,1,156.7,156.7004211085523,0.0
44,C2 Dolo,1,1,152.6,152.64409927314318,0.0
45,C2 Sand,4,1,3.4,3.443851068535423,0.0
46,C3 Dolo,4,0,,,
47,C3 Sand,2,3,4.7,6.158212871365126,3.9674458898268963
48,C4 Dolo,2,3,12.8,12.837069703258607,1.021010484454632
49,C4 Sand,3,2,3.7,4.190640705563769,3.6782391928413745
50,D Dolo,1,1,185.0,185.04132637303746,0.0
51,D Sand,1,0,,,
52,E Dolo,1,0,,,
53,AMSD,1,0,,,
54,MDSN,1,0,,,
55,PC,1,0,,,
