,API,Formation,MD,SS
45,490251022100,F2WC,2626.64,2398.36
46,490251022100,F1WCbase,2237.94,2787.06
47,490251022100,B1,2446.59,2578.41
48,490251022100,F1WC,2210.4,2814.6
49,490251040300,SHNNu,389.69,4781.31
50,490251040300,SHNNl,482.58,4688.42
51,490251040300,F1WC,2628.12,2542.88
52,490251040300,CRLL,2387.7,2783.3
53,490251040300,SHNNbs,551.31,4619.69
54,490251040300,SSXbase,12.74,5158.26
55,490251022200,F2WC,2673.21,2317.79
56,490251022200,CRLL,2008.98,2982.02
57,490251022200,F1WC,2256.31,2734.69
58,490251022200,F1WCbase,2367.83,2623.17
59,490251022200,B1,2496.32,2494.68
60,490251059300,F2WC,2822.7,2164.8
61,490251059300,B1,2642.85,2344.65
62,490251059300,F1WC,2439.38,2548.12
63,490251059300,F1WCbase,2532.58,2454.92
64,490251059300,CRLL,2180.35,2807.15
65,490251021800,F1WC,2440.08,2691.92
66,490251021800,F2WC,2811.71,2320.29
67,490251021800,CRLL,2192.9,2939.1
68,490251021800,NBRRsg,1967.53,3164.47
69,490251021800,NBRRws,1735.39,3396.61
70,490251021800,F1WCbase,2449.45,2682.55
71,490251021800,B1,2641.18,2490.82
72,490251021800,F1WCbase,2588.73,2543.27
73,490251021800,F1WCBench1Base,2451.89,2680.11
74,490251021800,F1WCBench2Top,2460.26,2671.74
75,490251021800,F1WCBench2Base,2552.36,2579.64
76,490251021800,F1WCBench3Top,2567.71,2564.29
77,490251137400,B1,2489.59,2516.01
78,490251137400,F1WC,2257.29,2748.31
79,490251137400,CRLL,2013.7,2991.9
80,490251137400,F2WC,2654.81,2350.79
81,490251137400,F1WCbase,2280.59,2725.01
82,490251137400,F2WCbase,2691.52,2314.08
83,490250959200,F2WC,2740.33,2233.87
84,490250959200,F1WC,2350.5,2623.7
85,490250959200,F1WCbase,2446.18,2528.02
86,490250959200,B1,2558.82,2415.38
87,490251043800,B1,2589.57,2379.73
88,490251043800,F2WC,2758.13,2211.17
89,490251044900,F2WC,2739.43,2225.57
90,490251044900,CRLL,2109.54,2855.46
91,490251044900,F1WC,2361.09,2603.91
92,490251044900,B1,2579.68,2385.32
93,490251044900,F1WCbase,2466.91,2498.09
94,490251044900,F2WC,2749.69,2215.31
95,490251044900,F2WCbase,2780.92,2184.08
96,490251073500,CRLL,2116.4,2850.84
97,490251073500,F1WC,2371.86,2595.38
98,490251073500,F1WCbase,2481.9,2485.34
99,490251059400,F2WC,2848.88,2178.62
100,490251059400,B1,2672.21,2355.29
101,490251059400,F1WC,2461.73,2565.77
102,490251059400,F1WCbase,2573.38,2454.12
103,490251059400,CRLL,2205.49,2822.01
104,490252264300,SSXbase,154.23,4939.77
105,490252264300,SSXS,106.85,4987.15
106,490252264300,SHNNu,500.01,4593.99
107,490252264300,SHNNl,595.19,4498.81
108,490252264300,SHNNbs,660.9,4433.1
109,490251115600,SHNNu,399.08,4743.92
110,490251115600,SHNNbs,562.52,4580.48
111,490251115600,SHNNl,491.66,4651.34
112,490251115600,SSXbase,53.92,5089.08
127,490251091600,A Sand,5546.72,-386.72
128,490251091600,B Dolo,5573.92,-413.92
129,490251091600,B Sand,5593.25,-433.25
130,490251091600,C1 Dolo,5659.49,-499.49
131,490251091600,MNKT,5466.47,-306.47
132,490251091600,OPCH,5490.32,-330.32
133,490251091600,F2WC,2983.69,2176.31
134,490251091600,SHNNu,365.56,4794.44
135,490251091600,SHNNl,454.03,4705.97
136,490251091600,F1WC,2592.61,2567.39
137,490251091600,B1,2828.57,2331.43
138,490251091600,SHNNbs,530.49,4629.51
139,490251091600,F1WCbase,2781.63,2378.37
140,490251091600,F2WCbase,3064.9,2095.1
141,490251032100,F2WCbase,3030.51,2102.49
142,490251032100,CRLL,2345.07,2787.93
143,490251032100,NBRRsg,2109.08,3023.92
144,490251032100,NBRRws,1870.06,3262.94
145,490251032100,F2WC,2968.78,2164.22
146,490251032100,SHNNbs,458.37,4674.63
147,490251032100,F1WCBench2Top,2724.94,2408.06
148,490251032100,SHNNl,386.81,4746.19
149,490251032100,SHNNu,302.72,4830.28
150,490251032100,StBR,710.09,4422.91
151,490251032100,StFT,1095.03,4037.97
152,490251032100,StAM,1739.72,3393.28
153,490251032100,StGD,1636.94,3496.06
154,490251032100,B1,2795.13,2337.87
155,490251032100,F1WC,2596.39,2536.61
156,490251032100,F1WCbase,2743.27,2389.73
157,490251032100,F1WCBench1Base,2693.85,2439.15
158,490251105300,F2WC,2883.54,2215.46
159,490251105300,NBRRws,1807.06,3291.94
160,490251105300,NBRRsg,2053.45,3045.55
161,490251105300,CRLL,2254.22,2844.78
162,490251105300,F1WC,2498.59,2600.41
163,490251105300,F1WCbase,2618.11,2480.89
164,490251105300,SHNNu,253.46,4845.54
165,490251105300,SHNNl,346.8,4752.2
166,490251105300,SHNNbs,417.09,4681.91
167,490251105300,StAM,1676.04,3422.96
168,490251105300,StGD,1576.56,3522.44
169,490251105300,StFT,1053.98,4045.02
170,490251105300,F2WCbase,2949.58,2149.42
171,490251105300,B1,2717.57,2381.43
172,490251105300,StBR,663.79,4435.21
173,490251105300,F3WC,3128.64,1970.36
174,490251105300,F1WC,2499.53,2599.47
175,490251105300,F1WCBench1Base,2521.26,2577.74
176,490251105300,F1WCBench2Top,2528.21,2570.79
177,490251105300,F1WCbase,2665.53,2433.47
178,490251105300,F1WCBench2Base,2622.94,2476.06
179,490251105300,F1WCBench3Top,2640.32,2458.68
180,490251105300,NBRRsg,2053.43,3045.57
181,490251105300,F2WC,2883.66,2215.34
182,490251105300,F3WCbase,3137.55,1961.45
183,490251101200,SHNNu,1368.3,3952.7
184,490251101200,SHNNl,1455.72,3865.28
185,490251101200,SSXbase,1006.72,4314.28
186,490251101200,SSXS,962.59,4358.41
187,490251101200,F1WC,3665.12,1655.88
188,490251101200,F1WCBench2Base,3719.66,1601.34
189,490251101200,F2WCbase,4128.53,1192.47
190,490251101200,F1WCBench1Base,3700.46,1620.54
191,490251101200,F2WC,4072.52,1248.48
192,490251101200,DKOT,4946.49,374.51
193,490251101200,B1,3874.64,1446.36
194,490251101200,F1WCBench2Top,3705.07,1615.93
195,490251101200,F1WCbase,3817.99,1503.01
196,490251101200,MDDY,4802.06,518.94
197,490251101200,MWRY,4573.14,747.86
198,490251101200,THRM,4817.43,503.57
199,490251074500,F1WC,2858.82,2416.18
200,490251074500,F1WCBench2Base,3012.45,2262.55
201,490251074500,SHNNu,568.13,4706.87
202,490251074500,SHNNl,653.73,4621.27
203,490251074500,SHNNbs,733.29,4541.71
204,490251074500,B1,3078.7,2196.3
205,490251074500,F1WCBench1Base,2918.02,2356.98
206,490251074500,F2WC,3263.97,2011.03
