,MAE,n_picks,formation,stdev,n_holdout
0,10.6,264,SSXS,17.98919002853156,48
1,13.9,351,SSXbase,24.78852213694194,60
2,7.5,916,SHNNu,12.354745260324197,166
3,6.3,920,SHNNl,10.365046630949857,173
4,7.6,669,SHNNbs,15.440200808556204,125
5,11.4,100,StBR,18.29885848956017,20
6,9.9,100,StFT,19.619450206864812,21
7,11.8,90,StGD,12.427207537139592,10
8,15.1,108,StAM,23.850719831588066,25
9,13.2,189,NBRRws,18.5562187605086,37
10,12.5,188,NBRRsg,17.232724874361093,42
11,11.9,268,CRLL,16.06861491745212,64
12,12.4,332,F1WC,16.524773560642192,68
13,20.3,95,F1WCBench1Base,25.66524016858266,17
14,17.3,88,F1WCBench2Top,24.277258787946938,17
15,11.1,73,F1WCBench2Base,15.469045065893281,17
16,9.8,74,F1WCBench3Top,16.047425804135397,18
17,45.9,332,F1WCbase,63.31999952676816,66
18,8.2,276,B1,11.337637948393313,59
19,11.1,324,F2WC,16.963722913525384,68
20,12.0,289,F2WCbase,16.115280709033303,60
21,8.6,54,F3WC,8.369784736438055,15
22,13.6,44,F3WCbase,12.73314745396185,10
23,18.2,53,MWRY,32.53761265338842,11
24,8.1,31,MDDY,7.690081915459137,6
25,4.9,29,THRM,5.615464758091021,8
26,13.5,46,DKOT,15.99564096460091,9
27,57.4,31,LKOT,57.41762148699786,2
28,35.4,31,MRSN,43.27912595149558,6
29,42.4,7,SNDCu,8.832526010104175,2
30,185.2,5,CNSP,191.86877428655745,4
31,16.7,18,CRMT,17.172278111066507,3
32,13.0,15,ALCV,17.88322939509659,5
33,11.6,15,RDPK,13.221858772023475,3
34,,0,ERVY,,2
35,,0,FRLL,,3
36,,0,GLND,,1
37,7.3,36,MNKT,9.902356101356073,12
38,5.5,34,OPCH,6.645157604388877,7
39,7.0,33,A Sand,10.130053655822701,8
40,8.6,35,B Dolo,11.01419774945071,7
41,7.5,35,B Sand,9.275566943095528,10
42,5.5,32,C1 Dolo,4.6059536315278,4
43,,0,C1 Sand,,2
44,,0,C2 Dolo,,2
45,,0,C2 Sand,,5
46,15.9,4,C3 Dolo,0.0,1
47,18.9,5,C3 Sand,0.0,1
48,,0,C4 Dolo,,5
49,10.4,5,C4 Sand,0.0,1
50,,0,D Dolo,,2
51,,0,D Sand,,1
52,,0,E Dolo,,1
53,,0,AMSD,,1
54,,0,MDSN,,1
55,,0,PC,,1
