,L,iterations,regularization,MAE
0,1,10,0.001,26.87188889252888
1,1,10,0.01,26.872528902778967
2,1,10,0.1,26.883372931915286
3,1,10,1.0,27.346212902062575
4,1,10,10.0,42.49499089168373
5,1,20,0.001,26.872489240732516
6,1,20,0.01,26.873802485441537
7,1,20,0.1,26.888784997287345
8,1,20,1.0,27.3736216319968
9,1,20,10.0,41.12609490454999
10,1,30,0.001,26.872524809857087
11,1,30,0.01,26.87385150735182
12,1,30,0.1,26.88883655055648
13,1,30,1.0,27.366542169920177
14,1,30,10.0,39.83481130424767
15,1,40,0.001,26.87252505717411
16,1,40,0.01,26.87385169193304
17,1,40,0.1,26.888820100932147
18,1,40,1.0,27.359397813741698
19,1,40,10.0,38.719747000696444
20,1,50,0.001,26.872525057588238
21,1,50,0.01,26.873851552958698
22,1,50,0.1,26.888803231279777
23,1,50,1.0,27.352399774413843
24,1,50,10.0,37.74749201408104
25,1,60,0.001,26.87252505635184
26,1,60,0.01,26.873851411851557
27,1,60,0.1,26.88878638913419
28,1,60,1.0,27.345533069275973
29,1,60,10.0,36.89766177068797
30,1,70,0.001,26.872525055104283
31,1,70,0.01,26.87385127075571
32,1,70,0.1,26.888769577394722
33,1,70,1.0,27.3387967029768
34,1,70,10.0,36.14727445277983
35,1,80,0.001,26.87252505385673
36,1,80,0.01,26.87385112968553
37,1,80,0.1,26.888752795998954
38,1,80,1.0,27.332192369890752
39,1,80,10.0,35.48275124863448
40,1,90,0.001,26.87252505260919
41,1,90,0.01,26.873850988641106
42,1,90,0.1,26.888736044865013
43,1,90,1.0,27.32570192971739
44,1,90,10.0,34.891190437882095
45,1,100,0.001,26.872525051361666
46,1,100,0.01,26.873850847622485
47,1,100,0.1,26.888719323911097
48,1,100,1.0,27.319325622873848
49,1,100,10.0,34.361799641054816
50,2,10,0.001,30.859138580758437
51,2,10,0.01,27.341143297985504
52,2,10,0.1,23.205728505334818
53,2,10,1.0,20.825082431887758
54,2,10,10.0,63.588479472985256
55,2,20,0.001,32.04543798287038
56,2,20,0.01,40.546418832474814
57,2,20,0.1,20.736002123491534
58,2,20,1.0,21.149295268180268
59,2,20,10.0,104.008432474501
60,2,30,0.001,32.52844779226282
61,2,30,0.01,40.18519746982875
62,2,30,0.1,19.574810515394564
63,2,30,1.0,20.295531532025137
64,2,30,10.0,112.6884268232593
65,2,40,0.001,32.29966658034414
66,2,40,0.01,39.55443311107604
67,2,40,0.1,18.154126871636258
68,2,40,1.0,20.510890213525663
69,2,40,10.0,114.22872270164117
70,2,50,0.001,31.465329148434257
71,2,50,0.01,39.077224181470704
72,2,50,0.1,17.524776110147368
73,2,50,1.0,20.80042650600285
74,2,50,10.0,116.2459793146061
75,2,60,0.001,30.601330216612542
76,2,60,0.01,38.7230438871117
77,2,60,0.1,17.400891042245384
78,2,60,1.0,21.22065400040276
79,2,60,10.0,120.01891727099508
80,2,70,0.001,29.670408555083913
81,2,70,0.01,38.791349049200306
82,2,70,0.1,17.14004765525623
83,2,70,1.0,21.890007983924413
84,2,70,10.0,122.18578223908881
85,2,80,0.001,28.956718549802478
86,2,80,0.01,39.053688427665506
87,2,80,0.1,17.002324508396146
88,2,80,1.0,22.26996120923474
89,2,80,10.0,123.42837534589337
90,2,90,0.001,28.416610489623938
91,2,90,0.01,39.45973791118969
92,2,90,0.1,16.904374442931516
93,2,90,1.0,22.829135713991633
94,2,90,10.0,124.36673853336343
95,2,100,0.001,28.130212813538158
96,2,100,0.01,39.4825536623424
97,2,100,0.1,16.69940305157059
98,2,100,1.0,23.643237640934913
99,2,100,10.0,124.94080691974341
100,3,10,0.001,23.83459809036491
101,3,10,0.01,19.753782696067823
102,3,10,0.1,17.90720783488809
103,3,10,1.0,17.105318346210478
104,3,10,10.0,86.33267043384646
105,3,20,0.001,21.778014574263732
106,3,20,0.01,19.32615520436438
107,3,20,0.1,17.167833498678615
108,3,20,1.0,17.428887040020975
109,3,20,10.0,131.91940803171985
110,3,30,0.001,23.205026383312784
111,3,30,0.01,19.908043160262146
112,3,30,0.1,17.639638592057278
113,3,30,1.0,18.788939532401116
114,3,30,10.0,165.40175627351636
115,3,40,0.001,24.448062335376385
116,3,40,0.01,20.45353296299593
117,3,40,0.1,17.53426920051803
118,3,40,1.0,21.07492696992744
119,3,40,10.0,182.60293750197704
120,3,50,0.001,24.77360981591525
121,3,50,0.01,20.656187918499317
122,3,50,0.1,17.67968605373337
123,3,50,1.0,26.56233546369641
124,3,50,10.0,190.08541626095743
125,3,60,0.001,25.20993278882501
126,3,60,0.01,20.76455197815649
127,3,60,0.1,17.64736145348685
128,3,60,1.0,39.38580453434608
129,3,60,10.0,193.1071036683314
130,3,70,0.001,25.57619447520549
131,3,70,0.01,20.859002830311468
132,3,70,0.1,17.467933479072414
133,3,70,1.0,50.79916244028182
134,3,70,10.0,195.32255148787027
135,3,80,0.001,25.80042078659435
136,3,80,0.01,21.043648475490446
137,3,80,0.1,17.429128571072706
138,3,80,1.0,56.22254851798439
139,3,80,10.0,196.88001830816674
140,3,90,0.001,25.99592232758147
141,3,90,0.01,21.265544494908944
142,3,90,0.1,17.396207821630323
143,3,90,1.0,59.02027216545002
144,3,90,10.0,197.21055525890839
145,3,100,0.001,26.486865494499288
146,3,100,0.01,21.486020000670692
147,3,100,0.1,17.369803888108454
148,3,100,1.0,59.96717629367954
149,3,100,10.0,199.19063853451294
150,4,10,0.001,38.27762707699604
151,4,10,0.01,32.5957608692799
152,4,10,0.1,25.233645809266015
153,4,10,1.0,28.628450988911162
154,4,10,10.0,80.22232471682966
155,4,20,0.001,30.75794073231318
156,4,20,0.01,24.4827075724726
157,4,20,0.1,19.680335081706453
158,4,20,1.0,30.676993881331505
159,4,20,10.0,110.12461532211907
160,4,30,0.001,31.57314199590298
161,4,30,0.01,21.02771469115237
162,4,30,0.1,19.180694433859564
163,4,30,1.0,32.546381527520346
164,4,30,10.0,134.47633455539133
165,4,40,0.001,33.058399795687286
166,4,40,0.01,19.798476853601155
167,4,40,0.1,19.807151145048213
168,4,40,1.0,33.6197591042679
169,4,40,10.0,151.12517612621562
170,4,50,0.001,32.76399160648383
171,4,50,0.01,19.45286482957785
172,4,50,0.1,21.529400824480664
173,4,50,1.0,38.63645419002064
174,4,50,10.0,163.3907998093134
175,4,60,0.001,31.757520972130823
176,4,60,0.01,19.479990617363153
177,4,60,0.1,24.34851404738934
178,4,60,1.0,42.29913947749846
179,4,60,10.0,160.30910602627648
180,4,70,0.001,31.447419502570643
181,4,70,0.01,19.6605820749814
182,4,70,0.1,28.854294760156534
183,4,70,1.0,43.92446408010036
184,4,70,10.0,158.11780954244608
185,4,80,0.001,31.348990224754036
186,4,80,0.01,19.733681053854678
187,4,80,0.1,35.717040026887545
188,4,80,1.0,45.355235706861244
189,4,80,10.0,158.28727773018807
190,4,90,0.001,31.206183958186116
191,4,90,0.01,20.015346777193635
192,4,90,0.1,43.45748400344058
193,4,90,1.0,47.67356019951805
