,L,iterations,MAE
0,1,10,26.871888892528887
1,1,10,26.87252890277889
2,1,10,26.883372931915414
3,1,10,27.346212902062526
4,1,10,42.49499089168365
5,1,20,26.872489240732506
6,1,20,26.87380248544153
7,1,20,26.88878499728731
8,1,20,27.373621631996876
9,1,20,41.12609490455011
10,1,30,26.872524809857076
11,1,30,26.87385150735193
12,1,30,26.888836550556466
13,1,30,27.366542169920173
14,1,30,39.834811304247665
15,1,40,26.8725250571741
16,1,40,26.87385169193296
17,1,40,26.888820100932193
18,1,40,27.359397813741666
19,1,40,38.719747000696294
20,1,50,26.872525057588152
21,1,50,26.873851552958705
22,1,50,26.88880323127969
23,1,50,27.352399774413932
24,1,50,37.74749201408112
25,1,60,26.872525056351765
26,1,60,26.873851411851575
27,1,60,26.88878638913413
28,1,60,27.345533069276037
29,1,60,36.89766177068792
30,1,70,26.872525055104298
31,1,70,26.873851270755654
32,1,70,26.88876957739474
33,1,70,27.338796702976744
34,1,70,36.14727445277967
35,1,80,26.872525053856762
36,1,80,26.873851129685512
37,1,80,26.888752795998975
38,1,80,27.33219236989076
39,1,80,35.48275124863467
40,1,90,26.87252505260922
41,1,90,26.873850988641106
42,1,90,26.888736044865063
43,1,90,27.325701929717425
44,1,90,34.89119043788223
45,1,100,26.872525051361656
46,1,100,26.87385084762245
47,1,100,26.88871932391109
48,1,100,27.319325622873887
49,1,100,34.36179964105483
50,1,110,26.872525050114184
51,1,110,26.87385070662954
52,1,110,26.88870263305569
53,1,110,27.313076646601893
54,1,110,33.88745215118993
55,1,120,26.872525048866702
56,1,120,26.87385056566241
57,1,120,26.888685972217587
58,1,120,27.306957220088133
59,1,120,33.45985894809455
60,1,130,26.87252504761929
61,1,130,26.87385042472099
62,1,130,26.888669341316188
63,1,130,27.301004874290257
64,1,130,33.071735461025895
65,1,140,26.872525046371884
66,1,140,26.87385028380538
67,1,140,26.888652740270544
68,1,140,27.29518867979369
69,1,140,32.720619519574306
70,1,150,26.872525045124437
71,1,150,26.873850142915376
72,1,150,26.888636169000574
73,1,150,27.289462826967167
74,1,150,32.400240201700626
75,1,160,26.87252504387705
76,1,160,26.873850002051153
77,1,160,26.888619627426337
78,1,160,27.28386782460604
79,1,160,32.10596261177698
80,1,170,26.872525042629682
81,1,170,26.87384986121259
82,1,170,26.88860311546791
83,1,170,27.278388335302395
84,1,170,31.83488145751698
85,1,180,26.872525041382406
86,1,180,26.873849720399754
87,1,180,26.888586633045918
88,1,180,27.27302624529769
89,1,180,31.584363289016302
90,1,190,26.87252504013515
91,1,190,26.873849579612596
92,1,190,26.88857018008124
93,1,190,27.267782667573833
94,1,190,31.352049880304367
95,1,200,26.872525038887822
96,1,200,26.873849438851234
97,1,200,26.888553756495014
98,1,200,27.26262557517032
99,1,200,31.136509739852666
100,1,210,26.8725250376406
101,1,210,26.87384929811537
102,1,210,26.88853736220859
103,1,210,27.257564257556922
104,1,210,30.937483170845272
105,1,220,26.872525036393277
106,1,220,26.87384915740535
107,1,220,26.888520997143768
108,1,220,27.25260148896566
109,1,220,30.754005272926776
110,1,230,26.872525035146115
111,1,230,26.87384901672091
112,1,230,26.888504661222303
113,1,230,27.24773814023785
114,1,230,30.582352018234854
115,1,240,26.87252503389891
116,1,240,26.873848876062162
117,1,240,26.888488354366746
118,1,240,27.24295984034676
119,1,240,30.421296774998808
120,1,250,26.872525032651758
121,1,250,26.873848735429014
122,1,250,26.88847207649942
123,1,250,27.238319984621626
124,1,250,30.269948954501064
125,1,260,26.87252503140457
126,1,260,26.873848594821506
127,1,260,26.888455827543076
128,1,260,27.233790676236993
129,1,260,30.12744456514706
130,1,270,26.872525030157462
131,1,270,26.873848454239756
132,1,270,26.888439607420995
133,1,270,27.229353148286087
134,1,270,29.994312766747505
135,1,280,26.872525028910356
136,1,280,26.87384831368359
137,1,280,26.88842352158411
138,1,280,27.224988546197167
139,1,280,29.86940269106899
140,1,290,26.87252502766328
141,1,290,26.873848173152858
142,1,290,26.88840748411015
143,1,290,27.220686608523003
144,1,290,29.752193913419262
145,1,300,26.872525026416263
146,1,300,26.873848032648063
147,1,300,26.888391475021887
148,1,300,27.216460567581425
149,1,300,29.642375807987204
150,1,310,26.87252502516917
151,1,310,26.873847892168637
152,1,310,26.888375494243853
153,1,310,27.21231089664725
154,1,310,29.538377374714102
155,1,320,26.872525023922215
156,1,320,26.873847751714937
157,1,320,26.888359541701163
158,1,320,27.20824584701563
159,1,320,29.439996351937392
160,1,330,26.872525022675177
161,1,330,26.873847611286745
162,1,330,26.888343617319
163,1,330,27.204248317151023
164,1,330,29.347945695121243
165,1,340,26.872525021428217
166,1,340,26.873847470884193
167,1,340,26.88832772102294
168,1,340,27.200336816598373
169,1,340,29.260922040751883
170,1,350,26.872525020181367
171,1,350,26.873847330507296
172,1,350,26.888311852738894
173,1,350,27.19649772582804
174,1,350,29.178216167866356
175,1,360,26.872525018934432
176,1,360,26.87384719015585
177,1,360,26.888296012392594
178,1,360,27.192727891121386
179,1,360,29.09979564076216
180,1,370,26.87252501768742
181,1,370,26.873847049830065
182,1,370,26.88828019991063
183,1,370,27.189029572025852
184,1,370,29.025463556382576
185,1,380,26.87252501644057
186,1,380,26.87384690952974
187,1,380,26.888264415219503
188,1,380,27.185420289241474
189,1,380,28.954715479879702
190,1,390,26.872525015193798
191,1,390,26.87384676925504
192,1,390,26.888248658246102
193,1,390,27.181862562365847
194,1,390,28.887349196717707
195,1,400,26.87252501394687
196,1,400,26.873846629005882
197,1,400,26.888232928917304
198,1,400,27.17835962785568
199,1,400,28.82321871601636
200,1,410,26.872525012700066
201,1,410,26.873846488782267
202,1,410,26.888217267086524
203,1,410,27.174923751123654
204,1,410,28.761894390637952
205,1,420,26.872525011453266
206,1,420,26.873846348584188
207,1,420,26.888201692757256
208,1,420,27.171546979390254
209,1,420,28.70331097838454
210,1,430,26.872525010206637
211,1,430,26.873846208411614
212,1,430,26.88818614568227
213,1,430,27.16822060163666
214,1,430,28.6479749371697
215,1,440,26.872525008959826
216,1,440,26.8738460682646
217,1,440,26.888170625790316
218,1,440,27.164935949885994
219,1,440,28.59591283895243
220,2,10,30.859139224975756
221,2,10,27.34114330225801
222,2,10,23.20572850376725
223,2,10,20.825082431728227
224,2,10,63.5884794727647
225,2,20,32.04543888950206
226,2,20,40.54641882028611
227,2,20,20.736002124439977
228,2,20,21.149295268191914
229,2,20,104.00843247371583
230,2,30,32.52844711724599
231,2,30,40.18519743344625
232,2,30,19.574810538453292
233,2,30,20.295531531995934
234,2,30,112.68842682655921
235,2,40,32.299666945161846
236,2,40,39.554433178742485
237,2,40,18.15412687277636
238,2,40,20.51089021344838
239,2,40,114.22872269688307
240,2,50,31.465329554976954
241,2,50,39.07722419068743
242,2,50,17.524776110406798
243,2,50,20.80042650616167
244,2,50,116.24597931748687
245,2,60,30.601330355017225
246,2,60,38.72304386980918
247,2,60,17.400891041489405
248,2,60,21.220654000373088
249,2,60,120.01891727295175
250,2,70,29.67040865358711
251,2,70,38.79134875832406
252,2,70,17.140047656838973
253,2,70,21.890007983966576
254,2,70,122.18578224142408
255,2,80,28.956718545828764
256,2,80,39.05368811893179
257,2,80,17.002324508494645
258,2,80,22.269961209260693
259,2,80,123.42837534759595
260,2,90,28.41661041790342
261,2,90,39.45973759971045
262,2,90,16.90437444229946
263,2,90,22.829135713972335
264,2,90,124.36673853427742
265,2,100,28.130212517614297
266,2,100,39.48255360116211
267,2,100,16.699403053404975
268,2,100,23.643237640543944
269,2,100,124.94080692119536
270,2,110,27.992061364759415
271,2,110,39.40785423991419
272,2,110,16.629550307597007
273,2,110,24.725855347890583
274,2,110,125.51606401570717
275,2,120,27.94257434324723
276,2,120,39.323715040104574
277,2,120,16.569762196900683
278,2,120,25.69146275777922
279,2,120,126.00395927720535
280,2,130,27.992711543512527
281,2,130,39.24232217858821
282,2,130,16.520997444358397
283,2,130,26.780685003306257
284,2,130,126.38183292238273
285,2,140,28.06869065660642
286,2,140,39.16221660253762
287,2,140,16.481994761636255
288,2,140,27.83911459929346
289,2,140,126.65054684821698
290,2,150,28.167799315334783
291,2,150,39.083063020424206
292,2,150,16.450098619197604
293,2,150,28.576401887431345
294,2,150,126.81965671778147
295,2,160,28.152400649001656
296,2,160,39.0055654208912
297,2,160,16.42212259690482
298,2,160,27.487480659632276
299,2,160,126.89792877439291
300,2,170,28.472682281597926
301,2,170,38.929764345699304
302,2,170,16.39583701183818
303,2,170,24.727646686125702
304,2,170,126.88988687537707
305,2,180,28.645635855475028
306,2,180,38.85632946089993
307,2,180,16.370167322735405
308,2,180,26.22066378273425
309,2,180,126.806437950412
310,2,190,28.856322528359303
311,2,190,38.78555572111257
312,2,190,16.345026212434377
313,2,190,26.628567598178627
314,2,190,126.65730391124313
315,2,200,29.10242224601726
316,2,200,38.717582363821265
317,2,200,16.32011606751035
318,2,200,26.98849519150376
319,2,200,126.44918966838746
320,2,210,29.38490420777525
321,2,210,38.65273495233549
322,2,210,16.295493341336382
323,2,210,27.306284540181597
324,2,210,126.18315072407059
325,2,220,29.708072697666402
326,2,220,38.59079203085348
327,2,220,16.271173719912806
328,2,220,27.585407112024885
329,2,220,125.88356540502724
330,2,230,30.076513597425354
331,2,230,38.53153765634155
332,2,230,16.24673954076228
333,2,230,27.829972282133625
334,2,230,125.59000570952742
335,2,240,30.502223991595898
336,2,240,38.475021868116045
337,2,240,16.222128219437984
338,2,240,28.04338472540782
339,2,240,125.23027976653367
340,2,250,31.010818260851355
341,2,250,38.421126130486904
342,2,250,16.197433675873555
343,2,250,28.228838590578775
344,2,250,124.84130525544238
345,2,260,31.640657667331652
346,2,260,38.36980700881304
347,2,260,16.173100755752266
348,2,260,28.37790703138964
349,2,260,124.4322153840495
350,2,270,32.34140530157692
351,2,270,38.321235612549664
352,2,270,16.149407174682388
353,2,270,28.50520633175556
354,2,270,124.0101203004773
355,2,280,33.01820162032965
356,2,280,38.27615982243653
357,2,280,16.126324295749715
358,2,280,28.629071492157834
359,2,280,123.56901758105761
