,Formation,n_train,n_holdout,MAE,RMSE,Std
0,1000,1195,396,34.6,47.33470103197256,47.30785127138452
1,2000,250,78,7.7,21.3698195743919,21.095256171882355
2,3000,274,88,2.6,3.2343512254371882,3.2316509929031647
3,4000,445,143,9.6,19.481274596037736,19.480925323118974
4,5000,1481,427,4.4,5.717993255290074,5.707766714487037
5,6000,312,113,3.7,5.036725407565395,5.027539682006434
6,7000,1141,435,5.2,35.42920945729731,35.31355666843106
7,8000,0,0,,,
8,9000,1313,470,3.4,13.723306926981769,13.683019759209001
9,9500,1323,460,5.6,36.66664791439913,36.48922350680256
10,10000,1383,448,2.8,8.52855400987385,8.494483407316698
11,11000,1318,479,4.4,31.149535844838724,31.052812796431045
12,12000,1363,420,5.6,35.176145652720216,35.02624736712928
13,13000,1425,455,5.5,21.015645943615485,20.946665296755164
14,14000,1594,505,25.9,38.18467496892587,38.17873630766545
