UWI,DATUM,GL,EREF,UNIT,datum
00/01-01-073-05W5/0,583.3,583.3,589,M,589
00/01-01-095-19W4/0,650.2,646.8,650.2,M,650.2
00/01-03-085-15W4/0,532.68,528.69,532.68,M,532.68
00/01-04-075-23W4/0,715,715,718.3,M,718.3
00/01-05-085-15W4/0,535.5,531.9,535.5,M,535.5
00/01-08-080-21W4/0,583.3,583.3,587,M,587
00/01-09-080-13W4/0,685.9,681.9,685.9,M,685.9
00/01-10-078-26W4/0,610.3,610.3,613.8,M,613.8
00/01-11-082-23W4/0,611.1,611.1,614.7,M,614.7
00/01-12-079-14W4/0,692.05,688.6,692.05,M,692.05
00/01-21-084-17W4/0,523.81,520.21,523.81,M,523.81
00/01-24-075-24W4/0,703.6,699.8,703.6,M,703.6
00/01-25-083-02W4/0,480.33,477.33,480.33,M,480.33
00/01-26-068-08W4/0,602.15,602.15,605.73,M,605.73
00/01-27-079-23W4/0,563.6,563.6,568.6,M,568.6
00/01-27-080-14W4/0,667.1,663.1,667.1,M,667.1
00/01-28-078-02W4/0,574.243,570.89,574.243,M,574.243
00/01-29-096-19W4/0,786.11,783.793,786.11,M,786.11
AA/01-32-080-22W4/0,588.6,588.6,592.9,M,592.9
00/02-01-073-19W4/0,635.6,631.8,635.6,M,635.6
00/02-01-074-05W5/0,589.5,589.5,593.84,M,593.84
00/02-02-083-11W4/0,736.9,733,736.9,M,736.9
00/02-03-071-04W5/0,746.15,742.334,746.15,M,746.15
00/02-05-074-04W5/0,597,593,597,M,597
00/02-05-076-26W4/0,899.77,899.77,903.427,M,903.427
00/02-06-074-04W5/0,596.5,596.5,596.5,M,596.5
00/02-07-076-13W4/0,712.3,709.6,712.3,M,712.3
00/02-08-078-02W5/0,647.79,647.79,652.05,M,652.05
00/02-14-077-04W4/0,572.1,572.1,575.75,M,575.75
00/02-15-076-18W4/0,614.26,610.59,614.26,M,614.26
00/02-17-079-03W4/0,553.1,549.2,553.1,M,553.1
00/02-18-077-13W4/0,690.17,686.57,690.17,M,690.17
00/02-22-071-22W4/0,652.55,652.55,656.1,M,656.1
00/02-22-091-19W4/0,1728.28,1715.98,1728.28,F,526.779744
00/02-25-077-10W4/0,610.6,610.6,614.26,M,614.26
00/02-26-072-13W4/0,653.8,653.8,657.5,M,657.5
00/02-26-073-05W5/0,576,576,583,M,583
00/02-26-076-04W4/0,587.6,587.6,591.1,M,591.1
00/02-27-076-14W4/0,679.9,676.6,679.9,M,679.9
00/02-29-067-06W4/0,662.17,659.3,662.17,M,662.17
00/02-29-073-15W4/0,613,613,616.57,M,616.57
00/02-29-080-13W4/0,701.6,698.4,701.6,M,701.6
00/02-30-078-08W4/0,592.4,588.9,592.4,M,592.4
00/02-30-079-04W5/0,657.454,657.454,657.454,M,657.454
00/02-32-089-12W4/0,528.85,525.15,528.85,M,528.85
00/02-36-072-04W5/0,588.1,588.1,592.9,M,592.9
00/03-01-077-05W4/0,571.1,571.1,574.9,M,574.9
00/03-02-077-14W4/0,675.4,671.9,675.4,M,675.4
00/03-02-084-17W4/0,545.48,542.48,545.48,M,545.48
00/03-03-081-10W4/0,698.2,695,698.2,M,698.2
00/03-04-072-09W4/0,666.64,666.64,670,M,670
00/03-05-075-02W5/0,706,702,706,M,706
00/03-06-067-11W4/0,647.88,643.48,647.88,M,647.88
00/03-06-070-22W4/0,633.4,633.4,637.8,M,637.8
00/03-07-071-15W4/0,599.2,599.2,602.85,M,602.85
00/03-09-075-23W4/0,686.6,686.6,689.9,M,689.9
00/03-10-088-03W4/0,475.488,474.269,475.488,M,475.488
00/03-11-080-08W4/0,634.5,631,634.5,M,634.5
00/03-12-077-08W4/0,564,564,567.5,M,567.5
00/03-12-095-16W4/0,562.9,559.3,562.9,M,562.9
00/03-13-083-10W4/0,2354,2341.54,2354,F,717.4992
00/03-14-075-16W4/0,715.4,715.4,719.4,M,719.4
00/03-14-095-07W4/0,506.66,505.28,506.66,M,506.66
00/03-16-097-16W4/0,667.817,664.464,667.817,M,667.817
00/03-18-068-12W4/0,599,599,602.55,M,602.55
00/03-18-072-06W4/0,684.4,684.4,688.5,M,688.5
00/03-18-082-12W4/0,681.2,677.8,681.2,M,681.2
00/03-18-089-19W4/0,504.11,504.11,507.31,M,507.31
00/03-19-068-09W4/0,702.5,702.5,705.5,M,705.5
00/03-19-081-05W5/0,611.734,611.734,614.111,M,614.111
00/03-20-067-16W4/0,630.39,627.39,630.39,M,630.39
00/03-20-070-15W4/0,566.63,566.63,569.83,M,569.83
00/03-22-070-02W5/0,597.2,597.2,600.95,M,600.95
00/03-25-067-07W4/0,653.5,649.9,653.5,M,653.5
00/03-25-083-02W5/0,613.4,613.4,618,M,618
00/03-28-077-02W4/0,592.531,592.531,595.884,M,595.884
00/03-28-095-18W4/0,683.8,680.3,683.8,M,683.8
00/03-30-074-10W4/0,681.533,678.028,681.533,M,681.533
00/03-31-075-03W4/0,627.65,623.9,627.65,M,627.65
00/03-31-094-17W4/0,542.1,538.3,542.1,M,542.1
00/03-32-080-07W4/0,637.1,633.9,637.1,M,637.1
00/03-34-067-16W4/0,553,549.7,553,M,553
00/03-34-078-05W4/0,532.4,528.9,532.4,M,532.4
00/03-34-088-20W4/0,517.55,517.55,521.513,M,521.513
00/04-01-080-22W4/0,585.4,585.4,590,M,590
00/04-02-079-19W4/0,555.346,555.346,558.698,M,558.698
00/04-02-084-15W4/0,555.8,552.1,555.8,M,555.8
00/04-03-070-03W5/0,614,614,621,M,621
00/04-03-072-04W5/0,744.626,739.597,744.626,M,744.626
00/04-05-074-02W5/0,669.22,665,669.22,M,669.22
00/04-05-095-17W4/0,557.6,556.2,557.6,M,557.6
00/04-06-087-17W4/0,510.1,506.3,510.1,M,510.1
00/04-07-091-19W4/0,1684.71,1674.54,1684.71,F,513.499608
00/04-11-070-10W4/0,614.6,614.6,617.8,M,617.8
00/04-11-070-25W4/0,670.9,670.9,674.46,M,674.46
00/04-12-072-05W5/0,693.115,689.762,693.115,M,693.115
00/04-12-081-23W4/0,601,601,604.6,M,604.6
00/04-13-077-05W4/0,570.3,570.3,573.3,M,573.3
00/04-15-081-09W4/0,705.338,701.528,705.338,M,705.338
00/04-18-072-04W5/0,593.446,589.3,593.446,M,593.446
00/04-19-083-23W4/0,592.531,592.531,595.884,M,595.884
00/04-20-084-15W4/0,533.16,529.5,533.16,M,533.16
00/04-21-072-11W4/0,645.8,645.8,649.15,M,649.15
00/04-21-074-05W5/0,700.46,700.46,705.26,M,705.26
00/04-23-079-23W4/0,565.2,565.2,570.2,M,570.2
00/04-23-085-17W4/0,515.86,512.2,515.86,M,515.86
00/04-23-094-21W4/0,665.5,662.1,665.5,M,665.5
00/04-24-073-04W5/0,587,587,591.3,M,591.3
00/04-24-092-20W4/0,523.6,520.2,523.6,M,523.6
00/04-25-073-25W4/0,637.6,637.6,641,M,641
00/04-26-077-15W4/0,662.4,662.4,665.7,M,665.7
00/04-26-084-15W4/0,531.2,527.7,531.2,M,531.2
00/04-29-076-23W4/0,935.93,935.93,939.4,M,939.4
00/04-30-078-13W4/0,679,675,679,M,679
00/04-30-078-23W4/0,587.9,587.9,591.6,M,591.6
00/04-30-083-06W4/0,566.5,561.95,566.5,M,566.5
00/04-30-084-14W4/0,545.67,541.57,545.67,M,545.67
00/04-31-072-03W5/0,586.75,586.75,591.4,M,591.4
00/04-32-085-23W4/0,554.736,550,554.736,M,554.736
00/04-36-071-19W4/0,587.3,587.3,591,M,591
00/04-36-090-20W4/0,517.6,517.6,520.7,M,520.7
00/05-01-081-23W4/0,593.34,593.34,597.04,M,597.04
00/05-01-088-17W4/0,536.09,532.79,536.09,M,536.09
00/05-02-073-23W4/0,625,625,627.5,M,627.5
00/05-04-068-11W4/0,617,613.7,617,M,617
00/05-04-069-04W4/0,724.4,724.4,728.1,M,728.1
