,SitID,Formation,MD,Quality,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
0,102496,1000,321.0,1,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,292.4
4,102496,5000,438.0,2,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,175.39999999999998
6,102496,7000,458.0,3,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,155.39999999999998
7,102496,9000,468.0,3,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,145.39999999999998
8,102496,9500,468.0,3,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,145.39999999999998
9,102496,10000,471.5,3,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,141.89999999999998
10,102496,11000,475.0,3,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,138.39999999999998
11,102496,12000,475.0,3,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,138.39999999999998
12,102496,13000,475.0,3,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,138.39999999999998
13,102496,14000,561.0,1,00/12-08-067-01W4/0,613.4,609.53,613.4,M,613.4,0674010812000,52.39999999999998
14,102497,1000,354.0,1,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,294.1
18,102497,5000,477.0,1,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,171.10000000000002
20,102497,7000,499.5,3,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,148.60000000000002
21,102497,9000,502.5,3,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,145.60000000000002
22,102497,9500,502.5,3,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,145.60000000000002
23,102497,10000,511.5,3,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,136.60000000000002
24,102497,11000,515.0,3,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,133.10000000000002
25,102497,12000,515.0,3,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,133.10000000000002
26,102497,13000,515.0,3,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,133.10000000000002
27,102497,14000,604.5,1,00/07-08-067-02W4/0,648.1,644.3,648.1,M,648.1,0674020807000,43.60000000000002
28,102498,1000,317.5,1,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,305.5
32,102498,5000,442.0,1,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,181.0
34,102498,7000,464.0,3,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,159.0
35,102498,9000,469.0,3,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,154.0
36,102498,9500,469.0,3,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,154.0
37,102498,10000,475.0,3,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,148.0
38,102498,11000,480.0,3,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,143.0
39,102498,12000,480.0,3,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,143.0
40,102498,13000,480.0,3,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,143.0
41,102498,14000,564.0,1,00/09-11-067-02W4/0,623.0,619.09,623.0,M,623.0,0674021109000,59.0
42,102500,1000,384.0,1,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,326.70000000000005
46,102500,5000,509.0,1,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,201.70000000000005
48,102500,7000,536.0,3,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,174.70000000000005
49,102500,9000,539.0,3,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,171.70000000000005
50,102500,9500,539.0,3,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,171.70000000000005
51,102500,10000,545.0,3,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,165.70000000000005
52,102500,11000,549.0,3,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,161.70000000000005
53,102500,12000,549.0,3,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,161.70000000000005
54,102500,13000,549.0,3,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,161.70000000000005
55,102500,14000,636.5,1,00/10-29-067-02W4/0,710.7,707.5,710.7,M,710.7,0674022910000,74.20000000000005
56,102501,1000,367.5,1,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,322.07000000000005
60,102501,5000,489.5,1,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,200.07000000000005
62,102501,7000,515.0,3,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,174.57000000000005
63,102501,9000,520.0,3,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,169.57000000000005
64,102501,9500,520.0,3,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,169.57000000000005
65,102501,10000,525.5,3,00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57,0674023406000,164.07000000000005
