API,Formation,SS,MD,Observation number
10/4-1,CROMER KNOLL GP. Top,-1350.9,1382,1
10/4-1,Roedby Fm. Top,-1350.9,1382,1
10/4-1,Sola Fm. Top,-1381.9,1413,1
10/4-1,Aasgard Fm. Top,-1397.9,1429,1
10/4-1,VESTLAND GP. Top,-2242.88,2274,1
10/4-1,Bryne Fm. Top,-2279.88,2311,1
10/4-1,Sandnes Fm. Top,-2242.88,2274,1
10/4-1,SHETLAND GP. Top,-558.93,590,1
10/4-1,Ekofisk Fm. Top,-558.93,590,1
10/4-1,Hod Fm. Top,-900.9,932,1
10/4-1,Tor Fm. Top,-616.92,648,1
10/4-1,ROGALAND GP. Top,-458.94,490,1
10/4-1,Balder Fm. Top,-458.94,490,1
10/4-1,Lista Fm. Top,-517.93,549,1
10/4-1,Sele Fm. Top,-491.93,523,1
10/4-1,Vaale Fm. Top,-553.93,585,1
10/4-1,NORDLAND GP. Top,-98,129,1
10/4-1,BOKNFJORD GP. Top,-1905.9,1937,1
10/4-1,Egersund Fm. Top,-2213.88,2245,1
10/4-1,Flekkefjord Fm. Top,-1810.9,1842,1
10/4-1,Sauda Fm. Top,-1905.9,1937,1
10/4-1,Tau Fm. Top,-2183.89,2215,1
10/4-1,HORDALAND GP. Top,-197.97,229,1
10/5-1,Borglum Unit Fm. Top,-1372,1396,1
10/5-1,Gassum Fm. Top,-1500,1524,1
10/5-1,Skagerrak Fm. Top,-1515,1539,1
10/5-1,Smith Bank Fm. Top,-1537,1561,1
10/5-1,CROMER KNOLL GP. Top,-1022,1046,1
10/5-1,Roedby Fm. Top,-1022,1046,1
10/5-1,Sola Fm. Top,-1069,1093,1
10/5-1,Aasgard Fm. Top,-1115,1139,1
10/5-1,VESTLAND GP. Top,-1448,1472,1
10/5-1,Bryne Fm. Top,-1466,1490,1
10/5-1,Sandnes Fm. Top,-1448,1472,1
10/5-1,SHETLAND GP. Top,-311,335,1
10/5-1,Blodoeks Fm. Top,-1001,1025,1
10/5-1,Ekofisk Fm. Top,-311,335,1
10/5-1,Hidra Fm. Top,-1016,1040,1
10/5-1,Hod Fm. Top,-511,535,1
10/5-1,Tor Fm. Top,-404,428,1
10/5-1,ROGALAND GP. Top,-246,270,1
10/5-1,Balder Fm. Top,-246,270,1
10/5-1,Lista Fm. Top,-266,290,1
10/5-1,Vaale Fm. Top,-303,327,1
10/5-1,NORDLAND GP. Top,-98,122,1
10/5-1,BOKNFJORD GP. Top,-1251,1275,1
10/5-1,Flekkefjord Fm. Top,-1251,1275,1
10/5-1,Sauda Fm. Top,-1311,1335,1
10/5-1,HORDALAND GP. Top,-166,190,1
10/5-1,BASEMENT Top,-1794,1818,1
10/7-1,CROMER KNOLL GP. Top,-997.88,1022,1
10/7-1,VESTLAND GP. Top,-1514.81,1539,1
10/7-1,Bryne Fm. Top,-1607.8,1632,1
10/7-1,Sandnes Fm. Top,-1514.81,1539,1
10/7-1,SHETLAND GP. Top,-756.97,781,1
10/7-1,ROGALAND GP. Top,-627.97,652,1
10/7-1,Balder Fm. Top,-627.97,652,1
10/7-1,Fiskebank Fm. Top,-648.97,673,1
10/7-1,Lista Fm. Top,-695.97,720,1
10/7-1,NORDLAND GP. Top,-86,110,1
10/7-1,BOKNFJORD GP. Top,-1273.85,1298,1
10/7-1,Flekkefjord Fm. Top,-1273.85,1298,1
10/7-1,Sauda Fm. Top,-1361.84,1386,1
10/7-1,Tau Fm. Top,-1461.82,1486,1
10/7-1,HORDALAND GP. Top,-426.97,451,1
10/8-1,Gassum Fm. Top,-1470,1494,1
10/8-1,Skagerrak Fm. Top,-1543,1567,1
10/8-1,Smith Bank Fm. Top,-2725,2749,1
10/8-1,CROMER KNOLL GP. Top,-1159,1183,1
10/8-1,Roedby Fm. Top,-1159,1183,1
10/8-1,Sola Fm. Top,-1177,1201,1
10/8-1,Aasgard Fm. Top,-1302,1326,1
10/8-1,SHETLAND GP. Top,-632,656,1
10/8-1,Blodoeks Fm. Top,-1129,1153,1
10/8-1,Ekofisk Fm. Top,-632,656,1
10/8-1,Hidra Fm. Top,-1133,1157,1
10/8-1,Hod Fm. Top,-997,1021,1
10/8-1,Tor Fm. Top,-724,748,1
10/8-1,ROGALAND GP. Top,-492,516,1
10/8-1,Balder Fm. Top,-492,516,1
10/8-1,Fiskebank Fm. Top,-518,542,1
10/8-1,Lista Fm. Top,-545,569,1
10/8-1,Sele Fm. Top,-503,527,1
10/8-1,Vaale Fm. Top,-597,621,1
10/8-1,NORDLAND GP. Top,-81,105,1
10/8-1,BOKNFJORD GP. Top,-1343,1367,1
10/8-1,Egersund Fm. Top,-1440,1464,1
10/8-1,Flekkefjord Fm. Top,-1343,1367,1
10/8-1,Sauda Fm. Top,-1369,1393,1
10/8-1,Tau Fm. Top,-1427,1451,1
10/8-1,HORDALAND GP. Top,-196,220,1
11/10-1,Borglum Unit Fm. Top,-1722.35,1750,1
11/10-1,Gassum Fm. Top,-1832.35,1860,1
11/10-1,Skagerrak Fm. Top,-1872.35,1900,1
11/10-1,CROMER KNOLL GP. Top,-1465.35,1493,1
11/10-1,Roedby Fm. Top,-1465.35,1493,1
11/10-1,Aasgard Fm. Top,-1482.35,1510,1
11/10-1,SHETLAND GP. Top,-1020.52,1048,1
11/10-1,Blodoeks Fm. Top,-1427.35,1455,1
11/10-1,Ekofisk Fm. Top,-1020.52,1048,1
11/10-1,Hod Fm. Top,-1328.35,1356,1
11/10-1,Tor Fm. Top,-1082.49,1110,1
11/10-1,ROGALAND GP. Top,-995.53,1023,1
