API,Formation,MD,Datum Elevation
490252206600,SHNNu,902.35,
490252206600,SSXbase,541.44,
490252206600,SSXS,488.36,
490252206600,SHNNl,1005.26,
490252206600,SHNNbs,1070.76,
490252206600,NBRRws,2444.14,
490252206600,NBRRsg,2676.71,
490252206600,CRLL,2901.43,
490252206600,F1WC,3142.11,
490252206600,F1WCbase,3279.07,
490252206600,F2WC,3558.31,
490252206600,F2WCbase,3596.87,
490252206600,MWRY,4047.64,
490252206600,F3WC,3789.68,
490252206600,F3WCbase,3797.66,
490252206600,DKOT,4437.25,
490252206600,LKOT,4517.03,
490252206600,MRSN,4576.87,
490252206600,B1,3398.87,
490252206600,StFT,1676.22,
490252206600,StGD,2221.19,
490252206600,MDDY,4285.4,
490252206600,StAM,2323.82,
490252167800,SSXS,603.48,
490252167800,SHNNu,1024.84,
490252167800,SHNNbs,1194.94,
490252167800,StFT,1827.27,
490252167800,NBRRws,2570.66,
490252167800,NBRRsg,2801.9,
490252167800,F1WC,3262.72,
490252167800,F2WC,3677.31,
490252167800,F3WC,3910.01,
490252167800,MWRY,4168.1,
490252167800,LKOT,4640.23,
490252167800,SSXbase,655.8,
490252167800,SHNNl,1132.27,
490252167800,StBR,1422.02,
490252167800,StAM,2444.77,
490252167800,StGD,2342.43,
490252167800,CRLL,3019.63,
490252167800,F1WCbase,3402.07,
490252167800,F2WCbase,3715.32,
490252167800,F3WCbase,3916.93,
490252167800,DKOT,4561.51,
490252167800,MRSN,4675.35,
490251022100,F2WC,2626.64,
490251022100,F1WCbase,2237.94,
490251022100,B1,2446.59,
490251022100,F1WC,2210.4,
490251040300,SHNNu,389.69,
490251040300,SHNNl,482.58,
490251040300,F1WC,2628.12,
490251040300,CRLL,2387.7,
490251040300,SHNNbs,551.31,
490251040300,SSXbase,12.74,
490251022200,F2WC,2673.21,
490251022200,CRLL,2008.98,
490251022200,F1WC,2256.31,
490251022200,F1WCbase,2367.83,
490251022200,B1,2496.32,
490251059300,F2WC,2822.7,
490251059300,B1,2642.85,
490251059300,F1WC,2439.38,
490251059300,F1WCbase,2532.58,
490251059300,CRLL,2180.35,
490251021800,F1WC,2440.08,
490251021800,F2WC,2811.71,
490251021800,CRLL,2192.9,
490251021800,NBRRsg,1967.53,
490251021800,NBRRws,1735.39,
490251021800,F1WCbase,2449.45,
490251021800,B1,2641.18,
490251021800,F1WCbase,2588.73,
490251021800,F1WCBench1Base,2451.89,
490251021800,F1WCBench2Top,2460.26,
490251021800,F1WCBench2Base,2552.36,
490251021800,F1WCBench3Top,2567.71,
490251137400,B1,2489.59,
490251137400,F1WC,2257.29,
490251137400,CRLL,2013.7,
490251137400,F2WC,2654.81,
490251137400,F1WCbase,2280.59,
490251137400,F2WCbase,2691.52,
490250959200,F2WC,2740.33,
490250959200,F1WC,2350.5,
490250959200,F1WCbase,2446.18,
490250959200,B1,2558.82,
490251043800,B1,2589.57,
490251043800,F2WC,2758.13,
490251044900,F2WC,2739.43,
490251044900,CRLL,2109.54,
490251044900,F1WC,2361.09,
490251044900,B1,2579.68,
490251044900,F1WCbase,2466.91,
490251044900,F2WC,2749.69,
490251044900,F2WCbase,2780.92,
490251073500,CRLL,2116.4,
490251073500,F1WC,2371.86,
490251073500,F1WCbase,2481.9,
490251059400,F2WC,2848.88,
490251059400,B1,2672.21,
490251059400,F1WC,2461.73,
490251059400,F1WCbase,2573.38,
490251059400,CRLL,2205.49,
490252264300,SSXbase,154.23,
490252264300,SSXS,106.85,
490252264300,SHNNu,500.01,
490252264300,SHNNl,595.19,
490252264300,SHNNbs,660.9,
490251115600,SHNNu,399.08,
490251115600,SHNNbs,562.52,
490251115600,SHNNl,491.66,
490251115600,SSXbase,53.92,
490251038100,B1,2892.6,
490251038100,F1WCBench2Base,2809.7,
490251038100,F2WCbase,3144.75,
490251038100,F1WC,2650.03,
490251038100,CRLL,2409.86,
490251038100,F1WCBench1Base,2735.93,
490251038100,F2WC,3069.93,
490251038100,F1WCBench2Top,2758.71,
490251038100,F1WCbase,2848.75,
490251038100,SHNNu,449,
490251038100,SHNNl,532.75,
490251038100,SHNNbs,608.96,
490251038100,NBRRws,1964.21,
490251038100,NBRRsg,2188.73,
490251091600,A Sand,5546.72,
490251091600,B Dolo,5573.92,
490251091600,B Sand,5593.25,
490251091600,C1 Dolo,5659.49,
490251091600,MNKT,5466.47,
490251091600,OPCH,5490.32,
490251091600,F2WC,2983.69,
490251091600,SHNNu,365.56,
490251091600,SHNNl,454.03,
490251091600,F1WC,2592.61,
490251091600,B1,2828.57,
490251091600,SHNNbs,530.49,
490251091600,F1WCbase,2781.63,
490251091600,F2WCbase,3064.9,
490251032100,F2WCbase,3030.51,
490251032100,CRLL,2345.07,
490251032100,NBRRsg,2109.08,
490251032100,NBRRws,1870.06,
490251032100,F2WC,2968.78,
490251032100,SHNNbs,458.37,
490251032100,F1WCBench2Top,2724.94,
490251032100,SHNNl,386.81,
490251032100,SHNNu,302.72,
490251032100,StBR,710.09,
490251032100,StFT,1095.03,
490251032100,StAM,1739.72,
490251032100,StGD,1636.94,
490251032100,B1,2795.13,
490251032100,F1WC,2596.39,
490251032100,F1WCbase,2743.27,
490251032100,F1WCBench1Base,2693.85,
490251105300,F2WC,2883.54,
490251105300,NBRRws,1807.06,
490251105300,NBRRsg,2053.45,
490251105300,CRLL,2254.22,
490251105300,F1WC,2498.59,
490251105300,F1WCbase,2618.11,
490251105300,SHNNu,253.46,
490251105300,SHNNl,346.8,
490251105300,SHNNbs,417.09,
490251105300,StAM,1676.04,
490251105300,StGD,1576.56,
490251105300,StFT,1053.98,
490251105300,F2WCbase,2949.58,
490251105300,B1,2717.57,
