API,Elevation
490251039700,4921
490250631800,5293
490250632200,5247
490250632500,5192
490250632600,5289
490250632700,5226
490250632800,5219
490250632900,5262
490250633200,5299
490250633400,5243
490250633800,5195
490250633900,5257
490250634000,5207
490250634100,5232
490250634300,5173
490250634600,5182
490250634800,5221
490250634900,5203
490250635000,5183
490250635800,5198
490250636000,5176
490250636100,5182
490250636200,5214
490250636500,5166
490250636700,5177
490250637300,5191
490250637500,5204
490250637600,5163
490250638000,5159
490250638200,5257
490250638400,5182
490250638800,5206
490250639100,5151
490250639200,5174
490250639400,5152
490250639500,5189
490250639700,5212
490250639900,5327
490250640200,5175
490250640500,5205
490250640600,5159
490250641300,5209
490250641500,5156
490250641800,5143
490250641900,5179
490250642200,5166
490250642400,5149
490250642500,5226
490250642600,5204
490250643300,5169
490250644000,5130
490250644100,5139
490250644200,5146
490250644400,5209
490250644600,5128
490250645000,5131
490250645200,5170
490250645500,5186
490250646100,5121.54
490250646400,5150
490250646800,5126
490250647200,5121
490250647700,5140
490250647900,5105
490250648000,5123
490250648100,5116
490250648900,5215
490250649100,5119
490250649200,5128
490250649300,5112
490250649800,5113
490250650200,5101
490250650400,5113
490250650600,5105
490250650800,5133
490250651100,5102
490250651600,5101
490250651700,5092
490250651800,5096
490250652600,5160
490250652800,5076
490250652900,5099
490250653000,5088
490250653700,5102
490250653900,5049
490250654000,5087
490250654500,5073
490250654800,5121
490250655000,5105
490250655100,5094
490250655200,5044
490250655700,5071
490250656700,5072
490250656900,5048
490250657300,5067
490250657800,5042
490250658100,5074
490250659000,5087
490250659800,5009
490250663200,5019
490250664200,5051.7
490250945000,5017
490250949100,5053
490250949200,5007.3
490250951100,5042
490250951200,5016
490250952100,5018
490250952400,5020.3
490250952500,5019
490250952700,5014.3
490250953300,5012
490250953400,4981
490250958900,5289
490250959000,5287
490250959100,5004
490250959200,4974.2
490250959400,5032
490250967900,5152
490250968000,5168
490250970700,5250
490250970800,5270
490250970900,5294
490250971000,5305
490250971100,5247.55
490250971600,5288
490250972800,5266
490251001700,5283
490251001800,5002
490251002100,5127
490251002200,5031
490251002500,5185
490251002600,5257
490251002700,5183
490251021100,5014
490251021200,5199
490251021400,5043
490251021500,4985
490251021600,5020
490251021700,5016
490251021800,5132
490251021900,5092.78
490251022000,5009
490251022100,5025
490251022200,4991
490251022300,5017.64
490251022700,5196.9
490251023000,5114
