,API,Formation,SS_pred
32396,490251103200,A Sand,-202.39207620288312
32397,490251103200,ALCV,683.3898288683849
32398,490251103200,B Dolo,-229.4148624938723
32399,490251103200,B Sand,-247.14401211780364
32400,490251103200,B1,2320.373267675421
32401,490251103200,C1 Dolo,-303.9862301843018
32402,490251103200,C1 Sand,-380.8243869217149
32403,490251103200,C2 Dolo,-385.8589202026212
32404,490251103200,C2 Sand,-374.4177670064503
32405,490251103200,C3 Dolo,-400.16956218419
32406,490251103200,C3 Sand,-390.6329794264054
32407,490251103200,C4 Dolo,-403.54254998901115
32408,490251103200,C4 Sand,-418.84792326774755
32409,490251103200,CNSP,560.1651104555945
32410,490251103200,CRLL,2765.6592723641124
32411,490251103200,CRMT,768.2864951496767
32412,490251103200,D Dolo,-430.83964751148255
32413,490251103200,D Sand,-641.1665724839434
32414,490251103200,DKOT,1281.5383857179881
32415,490251103200,ERVY,28.75851356761973
32416,490251103200,F1WC,2531.9312580509095
32417,490251103200,F1WCBench1Base,2488.632571191888
32418,490251103200,F1WCBench2Base,2400.6013503498175
32419,490251103200,F1WCBench2Top,2466.6390472754074
32420,490251103200,F1WCBench3Top,2388.3723216270055
32421,490251103200,F1WCbase,2417.795986166262
32422,490251103200,F2WC,2150.9099330174186
32423,490251103200,F2WCbase,2095.951719263724
32424,490251103200,F3WC,1924.636446634609
32425,490251103200,F3WCbase,1907.8806198108364
32426,490251103200,FRLL,-149.98657330898232
32427,490251103200,GLND,-372.37671897770724
32428,490251103200,LKOT,1203.2136662805574
32429,490251103200,MDDY,1425.0544938093963
32430,490251103200,MNKT,-122.48108785778118
32431,490251103200,MRSN,1179.2675813473616
32432,490251103200,MWRY,1660.060349157242
32433,490251103200,NBRRsg,2969.0784945645946
32434,490251103200,NBRRws,3185.3721887727806
32435,490251103200,OPCH,-141.617056595039
32436,490251103200,RDPK,660.6135483863877
32437,490251103200,SHNNbs,4472.204401919347
32438,490251103200,SHNNl,4543.973024657358
32439,490251103200,SHNNu,4634.60529391234
32440,490251103200,SNDCu,993.5552575323331
32441,490251103200,SSXS,5052.774184500912
32442,490251103200,SSXbase,5003.8020156969005
32443,490251103200,StAM,3281.3213584940468
32444,490251103200,StBR,4219.5021495718065
32445,490251103200,StFT,3861.371889386818
32446,490251103200,StGD,3385.9074810027632
32447,490251103200,THRM,1407.1728573864066
